source_path,destination_key,byte_size,content_hash
Custom/blackout/photo_2021-12-29_23-46-00 (2).jpg,legacy/v1-bucket/f7/f77ee9449f10733b342098eb2df2210e.jpg,31070,f77ee9449f10733b342098eb2df2210e
Custom/blackout/photo_2021-12-29_23-46-00 (3).jpg,legacy/v1-bucket/94/9452c87ed90adc2c9138de804e8350d5.jpg,63300,9452c87ed90adc2c9138de804e8350d5
Custom/blackout/photo_2021-12-29_23-46-00.jpg,legacy/v1-bucket/05/05abb1e527785a3120f58aa2af660d76.jpg,57539,05abb1e527785a3120f58aa2af660d76
Custom/blackout/photo_2021-12-29_23-46-01 (2).jpg,legacy/v1-bucket/ca/ca6716ce566b5979d718cd9617302849.jpg,66662,ca6716ce566b5979d718cd9617302849
Custom/blackout/photo_2021-12-29_23-46-01 (3).jpg,legacy/v1-bucket/15/15a474985199d36a79702bbec6e5883a.jpg,23640,15a474985199d36a79702bbec6e5883a
Custom/blackout/photo_2021-12-29_23-46-01 (4).jpg,legacy/v1-bucket/ff/ff710b0729708cec6d66737b4c5c9d6f.jpg,37251,ff710b0729708cec6d66737b4c5c9d6f
Custom/blackout/photo_2021-12-29_23-46-01.jpg,legacy/v1-bucket/8e/8e8409e7c07591ee003fcdb199ddaa72.jpg,69671,8e8409e7c07591ee003fcdb199ddaa72
Custom/blackout/photo_2021-12-29_23-46-02 (2).jpg,legacy/v1-bucket/90/907c7b377f6d4b08d9ca3f2bcfb0e961.jpg,53333,907c7b377f6d4b08d9ca3f2bcfb0e961
Custom/blackout/photo_2021-12-29_23-46-02 (3).jpg,legacy/v1-bucket/62/62eb8bde05c88376ef8c964c6c3282e9.jpg,47359,62eb8bde05c88376ef8c964c6c3282e9
Custom/blackout/photo_2021-12-29_23-46-02.jpg,legacy/v1-bucket/81/818f88c394e9aed681d9476e8eb87a1d.jpg,49176,818f88c394e9aed681d9476e8eb87a1d
Custom/blackout/photo_2021-12-29_23-46-03 (2).jpg,legacy/v1-bucket/ef/ef034c78d6d9b89bd7eac1dae3ec53dc.jpg,54760,ef034c78d6d9b89bd7eac1dae3ec53dc
Custom/blackout/photo_2021-12-29_23-46-03 (3).jpg,legacy/v1-bucket/39/396ad829528e5205d609f4e048578ce3.jpg,29477,396ad829528e5205d609f4e048578ce3
Custom/blackout/photo_2021-12-29_23-46-03.jpg,legacy/v1-bucket/88/889e36d734e61b9576a2ffd904a5806d.jpg,67304,889e36d734e61b9576a2ffd904a5806d
Custom/blackout/photo_2021-12-29_23-46-04 (2).jpg,legacy/v1-bucket/fb/fb2c930482c46fb862950aa5ef3d2bf1.jpg,73324,fb2c930482c46fb862950aa5ef3d2bf1
Custom/blackout/photo_2021-12-29_23-46-04 (3).jpg,legacy/v1-bucket/cf/cf216c204982683ebb3309eac9c45a81.jpg,104767,cf216c204982683ebb3309eac9c45a81
Custom/blackout/photo_2021-12-29_23-46-04.jpg,legacy/v1-bucket/a0/a011c6ac344c7d206942a0e4623cb90f.jpg,67559,a011c6ac344c7d206942a0e4623cb90f
