source_path,destination_key,byte_size,content_hash
Custom/confusion/photo_2024-05-13_18-05-35.jpg,legacy/v1-bucket/4e/4ea0eabe306f22cb0d4c20efdfe7cd42.jpg,138619,4ea0eabe306f22cb0d4c20efdfe7cd42
Custom/confusion/photo_2024-05-13_18-06-13.jpg,legacy/v1-bucket/51/51a97f24963a3855545feb6c27d51a53.jpg,368024,51a97f24963a3855545feb6c27d51a53
Custom/confusion/photo_2024-05-13_18-06-14 (2).jpg,legacy/v1-bucket/bb/bb2dcea0dfc00a5df6178ebe57e377ff.jpg,94449,bb2dcea0dfc00a5df6178ebe57e377ff
Custom/confusion/photo_2024-05-13_18-06-14 (3).jpg,legacy/v1-bucket/af/af029be652352910c1d909e4442f8c51.jpg,307631,af029be652352910c1d909e4442f8c51
Custom/confusion/photo_2024-05-13_18-06-14.jpg,legacy/v1-bucket/89/89a70e0a95a4de4a150358c72182a50f.jpg,217297,89a70e0a95a4de4a150358c72182a50f
Custom/confusion/photo_2024-05-13_18-06-15 (2).jpg,legacy/v1-bucket/32/3267019efc4936cf94d29f1552e67600.jpg,171850,3267019efc4936cf94d29f1552e67600
Custom/confusion/photo_2024-05-13_18-06-15.jpg,legacy/v1-bucket/26/262d3d0cb735413d88b31a74881565a2.jpg,455436,262d3d0cb735413d88b31a74881565a2
Custom/confusion/photo_2024-05-13_18-06-16 (2).jpg,legacy/v1-bucket/70/7007db324cf41c79d3890599fc9b3042.jpg,106601,7007db324cf41c79d3890599fc9b3042
Custom/confusion/photo_2024-05-13_18-06-16 (3).jpg,legacy/v1-bucket/d9/d90f3c89376d8dd5514eaec66d7f9eac.jpg,111303,d90f3c89376d8dd5514eaec66d7f9eac
Custom/confusion/photo_2024-05-13_18-06-16.jpg,legacy/v1-bucket/7c/7cec8be1cc68d5c3736c32c3d51dc631.jpg,107574,7cec8be1cc68d5c3736c32c3d51dc631
Custom/confusion/photo_2024-05-13_18-06-17 (2).jpg,legacy/v1-bucket/66/66df288337ccce20920c188763deed3b.jpg,121566,66df288337ccce20920c188763deed3b
Custom/confusion/photo_2024-05-13_18-06-17.jpg,legacy/v1-bucket/3a/3a6db130bb4d4468f35005c2d453d62f.jpg,164909,3a6db130bb4d4468f35005c2d453d62f
Custom/confusion/photo_2024-05-13_18-06-18 (2).jpg,legacy/v1-bucket/65/65036b9886767f7791bf5770e87033a9.jpg,244374,65036b9886767f7791bf5770e87033a9
Custom/confusion/photo_2024-05-13_18-06-18 (3).jpg,legacy/v1-bucket/6b/6b6436bcc287bc4df4da4e9ce5c1f367.jpg,230496,6b6436bcc287bc4df4da4e9ce5c1f367
Custom/confusion/photo_2024-05-13_18-06-18.jpg,legacy/v1-bucket/41/415af017e95e25cbeaf790b98d44f12b.jpg,225177,415af017e95e25cbeaf790b98d44f12b
Custom/confusion/photo_2024-05-13_18-06-19 (2).jpg,legacy/v1-bucket/c5/c56226e318cfe48c54b72cb685c30782.jpg,164626,c56226e318cfe48c54b72cb685c30782
Custom/confusion/photo_2024-05-13_18-06-19.jpg,legacy/v1-bucket/ea/ea6657b65c55fc34505b4f4713d44afe.jpg,115979,ea6657b65c55fc34505b4f4713d44afe
Custom/confusion/photo_2024-05-13_18-06-20 (2).jpg,legacy/v1-bucket/29/2994219c03fca5294ea36a3a7a7aff72.jpg,167844,2994219c03fca5294ea36a3a7a7aff72
Custom/confusion/photo_2024-05-13_18-06-20.jpg,legacy/v1-bucket/2d/2ddad5e68516fa79d95b33ca6877a847.jpg,136803,2ddad5e68516fa79d95b33ca6877a847
Custom/confusion/photo_2024-05-13_18-06-21 (2).jpg,legacy/v1-bucket/71/7164d442233ff6dd79cafd44a732ff99.jpg,376756,7164d442233ff6dd79cafd44a732ff99
Custom/confusion/photo_2024-05-13_18-06-21.jpg,legacy/v1-bucket/e7/e7f750af65bbc59f195bc6468ad17205.jpg,370787,e7f750af65bbc59f195bc6468ad17205
Custom/confusion/photo_2024-05-13_18-06-22 (2).jpg,legacy/v1-bucket/f1/f1ca4ba55ba017203b9da510c441dcc5.jpg,330564,f1ca4ba55ba017203b9da510c441dcc5
Custom/confusion/photo_2024-05-13_18-06-22.jpg,legacy/v1-bucket/50/50656c97769685ef65a60296037c1885.jpg,400067,50656c97769685ef65a60296037c1885
Custom/confusion/photo_2024-05-13_18-06-23 (2).jpg,legacy/v1-bucket/80/80fb5bad937ca359eced00b2fed6e8a5.jpg,28869,80fb5bad937ca359eced00b2fed6e8a5
Custom/confusion/photo_2024-05-13_18-06-23 (3).jpg,legacy/v1-bucket/79/79268e045e3599925ae331eab8a5a266.jpg,73463,79268e045e3599925ae331eab8a5a266
Custom/confusion/photo_2024-05-13_18-06-23.jpg,legacy/v1-bucket/20/200e0bdd9708501d040b99e7844cca53.jpg,284434,200e0bdd9708501d040b99e7844cca53
Custom/confusion/photo_2024-05-13_18-06-24 (2).jpg,legacy/v1-bucket/6d/6d06380ec3eeb3a502314240cfa64eb8.jpg,30447,6d06380ec3eeb3a502314240cfa64eb8
Custom/confusion/photo_2024-05-13_18-06-24.jpg,legacy/v1-bucket/ff/ff1788ce72867f1d72853b5a1a7ccc31.jpg,74747,ff1788ce72867f1d72853b5a1a7ccc31
Custom/confusion/photo_2024-05-13_18-06-25 (2).jpg,legacy/v1-bucket/e6/e6898802e080de9170f656440d44aa50.jpg,183272,e6898802e080de9170f656440d44aa50
Custom/confusion/photo_2024-05-13_18-06-25.jpg,legacy/v1-bucket/65/65a1d8a2704a6a075c8926f8b701e773.jpg,284985,65a1d8a2704a6a075c8926f8b701e773
Custom/confusion/photo_2024-05-13_18-06-26 (2).jpg,legacy/v1-bucket/ec/ec0a4b5964bc2de047c5fa4ceecfe618.jpg,278028,ec0a4b5964bc2de047c5fa4ceecfe618
Custom/confusion/photo_2024-05-13_18-06-26.jpg,legacy/v1-bucket/fa/facbf6bc4d864e57b1d9d423fada5911.jpg,402349,facbf6bc4d864e57b1d9d423fada5911
Custom/confusion/photo_2024-05-13_18-06-27 (2).jpg,legacy/v1-bucket/0e/0e739abeb0614fe7a2f3c2c40a881435.jpg,56142,0e739abeb0614fe7a2f3c2c40a881435
Custom/confusion/photo_2024-05-13_18-06-27.jpg,legacy/v1-bucket/11/11bae26280f2ebdcb4052a16c03f6f39.jpg,328562,11bae26280f2ebdcb4052a16c03f6f39
Custom/confusion/photo_2024-05-13_18-06-28 (2).jpg,legacy/v1-bucket/e3/e37d1b1bb140eb40f9782fdeab0cd2ea.jpg,410545,e37d1b1bb140eb40f9782fdeab0cd2ea
Custom/confusion/photo_2024-05-13_18-06-28.jpg,legacy/v1-bucket/b3/b33c36a370f8ab030d60f4fbedf44143.jpg,169467,b33c36a370f8ab030d60f4fbedf44143
