source_path,destination_key,byte_size,content_hash
Custom/titio/photo_2024-03-18_15-03-03.jpg,legacy/v1-bucket/f7/f78de489f42aa021ccf3cf372f93b69e.jpg,368578,f78de489f42aa021ccf3cf372f93b69e
Custom/titio/photo_2024-03-18_15-03-04.jpg,legacy/v1-bucket/53/53cef14041f29804e8bba5d69fcf06d0.jpg,319945,53cef14041f29804e8bba5d69fcf06d0
Custom/titio/photo_2024-03-18_15-03-05 (2).jpg,legacy/v1-bucket/cb/cbe7c66d38d08948b6d3b9146081f10b.jpg,199590,cbe7c66d38d08948b6d3b9146081f10b
Custom/titio/photo_2024-03-18_15-03-06 (2).jpg,legacy/v1-bucket/7c/7c2128bd432f537264540cace0508e6f.jpg,250515,7c2128bd432f537264540cace0508e6f
Custom/titio/photo_2024-03-18_15-03-06 (3).jpg,legacy/v1-bucket/76/760ddcb3569ef56cbe01168f72c60863.jpg,299714,760ddcb3569ef56cbe01168f72c60863
Custom/titio/photo_2024-03-18_15-03-06.jpg,legacy/v1-bucket/cd/cdb8841a51051fe1da6a4ae1670fee1c.jpg,166582,cdb8841a51051fe1da6a4ae1670fee1c
Custom/titio/photo_2024-03-18_15-03-07 (2).jpg,legacy/v1-bucket/a2/a2529ac35179cdbea1400bf004f3a5aa.jpg,163943,a2529ac35179cdbea1400bf004f3a5aa
Custom/titio/photo_2024-03-18_15-03-07.jpg,legacy/v1-bucket/e0/e07f83559ac808a36293251bc0fecfdb.jpg,85164,e07f83559ac808a36293251bc0fecfdb
Custom/titio/photo_2024-03-18_15-03-08 (2).jpg,legacy/v1-bucket/98/98f9c3e0ac4f3d79d47a404294260af7.jpg,231765,98f9c3e0ac4f3d79d47a404294260af7
Custom/titio/photo_2024-03-18_15-03-08 (3).jpg,legacy/v1-bucket/bd/bd1e22961fd9799f8203a5fb89732e17.jpg,33545,bd1e22961fd9799f8203a5fb89732e17
Custom/titio/photo_2024-03-18_15-03-08.jpg,legacy/v1-bucket/e6/e63f37b9de8dd4f85c249b8f870f58c6.jpg,211868,e63f37b9de8dd4f85c249b8f870f58c6
Custom/titio/photo_2024-03-18_15-03-09 (2).jpg,legacy/v1-bucket/b6/b69431e3b7a2bcc388f325c988f168c3.jpg,64184,b69431e3b7a2bcc388f325c988f168c3
Custom/titio/photo_2024-03-18_15-03-09.jpg,legacy/v1-bucket/79/799e7d5e8ffe01420c3c08bb7bc0946f.jpg,161149,799e7d5e8ffe01420c3c08bb7bc0946f
Custom/titio/photo_2024-03-18_15-03-10 (2).jpg,legacy/v1-bucket/fa/faf197c021a732ceb523bb31ceda5d9a.jpg,63739,faf197c021a732ceb523bb31ceda5d9a
Custom/titio/photo_2024-03-18_15-03-10.jpg,legacy/v1-bucket/22/22b7cba53c0efc83e2c50268f4285cda.jpg,237858,22b7cba53c0efc83e2c50268f4285cda
Custom/titio/photo_2024-03-18_15-03-11 (2).jpg,legacy/v1-bucket/fa/fa45025663a6d6501097532a108a0ca1.jpg,47811,fa45025663a6d6501097532a108a0ca1
Custom/titio/photo_2024-03-18_15-03-11.jpg,legacy/v1-bucket/2f/2f159a6c25d1b6f8b1ea021f11ff2e77.jpg,101497,2f159a6c25d1b6f8b1ea021f11ff2e77
Custom/titio/photo_2024-03-18_15-03-12 (2).jpg,legacy/v1-bucket/21/2153d9acf8ac23ee3ebe5d855244fea4.jpg,109517,2153d9acf8ac23ee3ebe5d855244fea4
Custom/titio/photo_2024-03-18_15-03-12.jpg,legacy/v1-bucket/8f/8f1565882784e06f10f0f88f757a9982.jpg,149740,8f1565882784e06f10f0f88f757a9982
Custom/titio/photo_2024-03-18_15-03-13.jpg,legacy/v1-bucket/b2/b2d145767eef6c421b48f4b326a46e5c.jpg,193652,b2d145767eef6c421b48f4b326a46e5c
Custom/titio/photo_2024-03-18_15-03-14.jpg,legacy/v1-bucket/c1/c15be6ebe137681180e5daa73df83df9.jpg,161957,c15be6ebe137681180e5daa73df83df9
