source_path,destination_key,byte_size,content_hash
Custom/yoshiro/photo_2021-03-15_15-08-55.jpg,legacy/v1-bucket/bd/bd4c55762bf8910733fdc7616d4e9bba.jpg,64500,bd4c55762bf8910733fdc7616d4e9bba
Custom/yoshiro/photo_2021-03-15_15-08-56.jpg,legacy/v1-bucket/63/63348bc576959130cd8d8414c6161bfc.jpg,43607,63348bc576959130cd8d8414c6161bfc
Custom/yoshiro/photo_2021-03-15_15-08-57.jpg,legacy/v1-bucket/a9/a95f3b880b522079d8dd934881341e05.jpg,71325,a95f3b880b522079d8dd934881341e05
Custom/yoshiro/photo_2021-03-15_15-08-58.jpg,legacy/v1-bucket/ae/ae672364d8b715fd26a9f0ccfc1703a1.jpg,86533,ae672364d8b715fd26a9f0ccfc1703a1
Custom/yoshiro/photo_2021-03-15_15-08-59 (2).jpg,legacy/v1-bucket/d3/d34573071f403cfbe77b8f9599df4517.jpg,59358,d34573071f403cfbe77b8f9599df4517
Custom/yoshiro/photo_2021-03-15_15-08-59.jpg,legacy/v1-bucket/39/398f5c5d40e6d490aa371f5d8f6b8b88.jpg,69272,398f5c5d40e6d490aa371f5d8f6b8b88
Custom/yoshiro/photo_2021-03-15_15-09-03 (2).jpg,legacy/v1-bucket/32/32116c654efed313a10eaa962890c774.jpg,70491,32116c654efed313a10eaa962890c774
Custom/yoshiro/photo_2021-03-15_15-09-03.jpg,legacy/v1-bucket/93/93f638de495a5f287b948c6080bfb798.jpg,140707,93f638de495a5f287b948c6080bfb798
Custom/yoshiro/photo_2021-03-15_15-09-04 (2).jpg,legacy/v1-bucket/bf/bf8f5c13befe4861b0267754d33e1354.jpg,59421,bf8f5c13befe4861b0267754d33e1354
Custom/yoshiro/photo_2021-03-15_15-09-04 (3).jpg,legacy/v1-bucket/a2/a2538946599f1ea5c09cd81901fc976d.jpg,88236,a2538946599f1ea5c09cd81901fc976d
Custom/yoshiro/photo_2021-03-15_15-09-04.jpg,legacy/v1-bucket/f6/f6620a943e5744469454cdeffb36be67.jpg,66611,f6620a943e5744469454cdeffb36be67
Custom/yoshiro/photo_2021-03-15_15-09-05.jpg,legacy/v1-bucket/7a/7aa83e822e78425e7b8efec5505f48b2.jpg,37475,7aa83e822e78425e7b8efec5505f48b2
Custom/yoshiro/photo_2021-04-13_23-45-56.jpg,legacy/v1-bucket/c3/c36fb76907dc672796da36fa6c65816c.jpg,60278,c36fb76907dc672796da36fa6c65816c
Custom/yoshiro/photo_2021-04-14_10-18-26.jpg,legacy/v1-bucket/d0/d0c42545397ab66cad926a571a18b13e.jpg,53714,d0c42545397ab66cad926a571a18b13e
Custom/yoshiro/photo_2021-04-14_10-18-28 (2).jpg,legacy/v1-bucket/7f/7f2a464b60a5cd8907edf385ce96c3a6.jpg,26085,7f2a464b60a5cd8907edf385ce96c3a6
Custom/yoshiro/photo_2021-04-14_10-18-28.jpg,legacy/v1-bucket/af/af1d43304bfa185ca856a79c51addf07.jpg,98762,af1d43304bfa185ca856a79c51addf07
Custom/yoshiro/photo_2021-04-14_10-19-10.jpg,legacy/v1-bucket/b4/b4335a57f5a1fcec8d9f111a887fad6d.jpg,79611,b4335a57f5a1fcec8d9f111a887fad6d
Custom/yoshiro/photo_2021-04-14_10-19-12 (2).jpg,legacy/v1-bucket/ae/aef2828b2925cd58ecd8f944063411e2.jpg,50714,aef2828b2925cd58ecd8f944063411e2
Custom/yoshiro/photo_2021-04-14_10-19-12.jpg,legacy/v1-bucket/7d/7deb17dc02c68456d8d832ca7111fdf0.jpg,46636,7deb17dc02c68456d8d832ca7111fdf0
Custom/yoshiro/photo_2021-04-14_10-19-13 (2).jpg,legacy/v1-bucket/b1/b14db57b035645c49003520db6877cd4.jpg,83699,b14db57b035645c49003520db6877cd4
